Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.96875,43.96875,43.75,43.9375,24.840686798095703,1003200
1993-02-01,43.96875,44.25,43.96875,44.25,25.017364501953125,480500
1993-02-02,44.21875,44.375,44.125,44.34375,25.070344924926758,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,25.33537483215332,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,25.441364288330078,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.4237117767334,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,25.4237117767334,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.247037887573242,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,25.282367706298828,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,25.406049728393555,19500
1993-02-12,44.875,44.875,44.59375,44.59375,25.211694717407227,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.575660705566406,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.557998657226562,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.540325164794922,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.62867546081543,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.71700668334961,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.699338912963867,373700
1993-02-24,43.71875,44.25,43.71875,44.25,25.017364501953125,26300
1993-02-25,44.21875,44.375,44.125,44.34375,25.070344924926758,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.105701446533203,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.035018920898438,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,25.406049728393555,182400
1993-03-03,45.0,45.15625,44.9375,45.125,25.512056350708008,280100
1993-03-04,45.1875,45.1875,44.875,44.875,25.370708465576172,89500
1993-03-05,44.9375,45.125,44.71875,44.75,25.300048828125,40000
1993-03-08,44.84375,45.75,44.84375,45.75,25.865407943725586,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,25.77704429626465,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.830066680908203,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,25.759389877319336,70900
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.494382858276367,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.618059158325195,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.618059158325195,30800
1993-03-17,45.25,45.25,44.96875,45.03125,25.459043502807617,21800
1993-03-18,45.21875,45.5,45.21875,45.3125,25.618059158325195,59300
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.57927703857422,66900
1993-03-22,44.59375,44.875,44.5625,44.78125,25.437278747558594,183400
1993-03-23,44.90625,44.9375,44.8125,44.875,25.490522384643555,55200
1993-03-24,44.8125,45.0625,44.59375,44.875,25.490522384643555,37200
1993-03-25,44.90625,45.25,44.84375,45.15625,25.650283813476562,110100
1993-03-26,45.125,45.15625,44.875,44.90625,25.508281707763672,101500
1993-03-29,44.9375,45.3125,44.9375,45.09375,25.61478614807129,87100
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.685800552368164,56000
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.66803741455078,111600
1993-04-01,45.25,45.25,44.9375,45.03125,25.57927703857422,129500
1993-04-02,44.65625,44.65625,44.09375,44.09375,25.046754837036133,59400
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.17100715637207,172200
1993-04-06,44.40625,44.40625,44.0625,44.1875,25.100008010864258,129700
1993-04-07,44.25,44.34375,44.15625,44.34375,25.188745498657227,28000
1993-04-08,44.53125,44.53125,44.09375,44.28125,25.153263092041016,180800
1993-04-12,44.71875,44.9375,44.65625,44.90625,25.508281707763672,348500
1993-04-13,44.875,45.15625,44.84375,45.0,25.561534881591797,146100
1993-04-14,45.03125,45.0625,44.90625,44.9375,25.526046752929688,119600
1993-04-15,44.90625,45.03125,44.75,44.9375,25.526046752929688,148600
1993-04-16,44.96875,45.03125,44.875,44.9375,25.526046752929688,47900
1993-04-19,44.9375,45.0625,44.71875,44.75,25.41952896118164,157000
1993-04-20,44.6875,44.75,44.25,44.53125,25.29526710510254,279500
1993-04-21,44.625,44.625,44.375,44.5,25.277503967285156,67900
1993-04-22,44.3125,44.6875,43.9375,43.9375,24.95800018310547,97700
1993-04-23,43.84375,43.96875,43.6875,43.75,24.851497650146484,106000
1993-04-26,43.78125,43.9375,43.28125,43.40625,24.656232833862305,62600
1993-04-27,43.34375,43.875,43.34375,43.875,24.9224853515625,156800
1993-04-28,43.8125,43.90625,43.71875,43.78125,24.869251251220703,85900
